fecha,nombre producto,comercio,url,notas
2025-07-01,x5 mini gubias turk - 160,Librería Tandil,https://www.libreriatandil.com.ar/product/?prod=31232,
2025-07-01,aceitunas negras doy pack - la toscana - - 160grs,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,philips p.a.d. - batidora philips p.a.d. de mano hr370005 200w 3 veloci,Naldo,,
2025-07-01,philips p.a.d. - freidora de aire philips hd927091 airfryer,Naldo,,
2025-07-01,pañales para agua pampers splashers,Simplicity,https://www.simplicity.com.ar/talle-g-10-unidades-por-paquete/p,
2025-07-01,lampara luxten hps sodio 400w e40 1341,Kulture,https://kultureweb.com/productos/lampara-luxten-hps-sodio-400w-e40-1341/,
2025-07-01,norton talisman cabernet sauvignon 750cc,Golopolis,https://golopolis.com.ar/app/?action=detail&itemId=26918,
2025-07-01,collar wav kids dije x 2 un,Simplicity,https://www.simplicity.com.ar/collar-wav-kids-dije-x-2-un/p,
2025-07-01,160gr 35x50cm opalina premium art nature papel plantec italy - 12583051,Librería Tandil,https://www.libreriatandil.com.ar/product/?prod=34113,
2025-07-01,160gr 50x70cm opalina premium art nature papel plantec italy - 12583061,Librería Tandil,https://www.libreriatandil.com.ar/product/?prod=34112,
2025-07-01,160gr 100x70cm opalina premium art nature papel plantec italy - 125.83071,Librería Tandil,https://www.libreriatandil.com.ar/product/?prod=34111,
2025-07-01,indumentaria - gorro niña tejido urb,Supermercado Vea,https://www.vea.com.ar/gorro-nina-tejido-urb/p,
2025-07-01,mesa - juego de cubiertos carol,Supermercado Vea,https://www.vea.com.ar/juego-de-cubiertos-carol/p,
2025-07-01,mesa - cucharita de te x 3 gris areia carol,Supermercado Vea,https://www.vea.com.ar/cucharita-de-te-x-3-gris-areia-carol/p,
2025-07-01,aire libre - fogonero campero cuadrado bbq grill,Supermercado Vea,https://www.vea.com.ar/fogonero-campero-cuadrado-bbq-grill/p,
2025-07-01,pastas secas guiseras - fideos penne rigate bonalma de semola 500 gr,Supermercado Vea,https://www.vea.com.ar/fideos-penne-rigate-bonalma-de-semola-500-gr/p,
2025-07-01,fosforos - tres patitos - - 222uds,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,fosforos parrilleros - tres patitos - - 5uds,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,cocina volcan 87144vm 50cm bca,Sampietro,https://sampietroweb.com.ar/tienda/electrodomesticos/cocinas-y-hornos/cocinas/cocina-volcan-87144vm-50cm-bca,
2025-07-01,cocina volcan 87643ve 55cm bca,Sampietro,https://sampietroweb.com.ar/tienda/electrodomesticos/cocinas-y-hornos/cocinas/cocina-volcan-87643ve-55cm-bca,
2025-07-01,cocina volcan 87644m 55cm bca,Sampietro,https://sampietroweb.com.ar/tienda/electrodomesticos/cocinas-y-hornos/cocinas/cocina-volcan-87644m-55cm-bca,
2025-07-01,chimichurri deshidratado - alicante - - 50grs,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,chimichurri deshidratado - alicante - - 25grs,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,garrafas - carga 10kg - compra minima de 2 garrafas,Amarilla Gas,,
2025-07-01,spray capilatis stop frizz c-style,Simplicity,https://www.simplicity.com.ar/spray-capilatis-stop-frizz-c-style/p,
2025-07-01,garrafas - carga 15kg - carga de gas licuado de petroleo,Amarilla Gas,,
2025-07-01,flynn paff chupetin cereza 18x24x18g,Distribuidora Veromar,https://distribuidoraveromar.com.ar?action=detail&itemId=5521,
2025-07-01,cañuelas edulcorante clasico en sobre 12 x 80g,Distribuidora Veromar,https://distribuidoraveromar.com.ar?action=detail&itemId=5423,
2025-07-01,condimento tucos y guisos - alicante - - 25grs,Supermercados Monarca,https://monarcadigital.com.ar/app/,
2025-07-01,cotillon - vela numero 4 x 1 un sylcon,Supermercado Vea,https://www.vea.com.ar/vela-numero-4-x-1-un-sylcon/p,
2025-07-01,mesa - cucharita de te beige areia x 3 un carol,Supermercado Vea,https://www.vea.com.ar/cucharita-de-te-beige-areia-x-3-un-carol/p,
2025-07-01,tinta acuarela pebeo colorex 45ml. cyan - presentacion: x unidad.,Alot - Librería,https://alot.com.ar/product.asp?sku=ACUWQX45CYA&tracking=DEPT%5FPRODUCT&,
2025-07-01,rollo termico 44mm x 50mts.,Alot - Librería,https://alot.com.ar/product.asp?sku=CRTHU4450&tracking=DEPT%5FPRODUCT&,
2025-07-01,limpia vidrios corderito con marco de pvc 35 cm,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXVICM35&tracking=DEPT%5FPRODUCT&,
2025-07-01,secador de vidrio de acero inoxidable 35 cm,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXSECA35&tracking=DEPT%5FPRODUCT&,
2025-07-01,repuesto de corderito para vidrios,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXRESCPV&tracking=DEPT%5FPRODUCT&,
2025-07-01,escobilla de baño inyectada sin base,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXESCISB&tracking=DEPT%5FPRODUCT&,
2025-07-01,envase para pulverizador repuesto pet x 500 cc.,Alot - Librería,https://alot.com.ar/product.asp?sku=ENVHXPETX500&tracking=DEPT%5FPRODUCT&,
2025-07-01,paragüero de acero inoxidable brinox,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXPARACE&tracking=DEPT%5FPRODUCT&,
2025-07-01,cesto rectangular tapa vaiven blanco 6 lts,Alot - Librería,https://alot.com.ar/product.asp?sku=CESHXRECTA6B&tracking=DEPT%5FPRODUCT&,
2025-07-01,cesto rectangular tapa vaiven negro 12 lts,Alot - Librería,https://alot.com.ar/product.asp?sku=CESHXRECTA12N&tracking=DEPT%5FPRODUCT&,
2025-07-01,cesto rectangular tapa vaiven blanco 12 lts,Alot - Librería,https://alot.com.ar/product.asp?sku=CESHXRECTA12B&tracking=DEPT%5FPRODUCT&,
2025-07-01,cesto rectangular tapa vaiven blanco 10 lts,Alot - Librería,https://alot.com.ar/product.asp?sku=CESHXRECTA10B&tracking=DEPT%5FPRODUCT&,
2025-07-01,cesto de acero inoxidable brinox con tapa pedal 12 lts,Alot - Librería,https://alot.com.ar/product.asp?sku=CESHXACECT12&tracking=DEPT%5FPRODUCT&,
2025-07-01,mopa de aplicacion finish mop,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXMOAPL&tracking=DEPT%5FPRODUCT&,
2025-07-01,balde 12lts negro,Alot - Librería,https://alot.com.ar/product.asp?sku=BALHX12LTN&tracking=DEPT%5FPRODUCT&,
2025-07-01,mopa de lavado mediana con banda angosta blanca - por unidad.,Alot - Librería,https://alot.com.ar/product.asp?sku=MOPHXMEDB&tracking=DEPT%5FPRODUCT&,
2025-07-01,mopa de algodon blanca 60 cm,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXMO60B&tracking=DEPT%5FPRODUCT&,
2025-07-01,mopa de algodon blanca 100 cm,Alot - Librería,https://alot.com.ar/product.asp?sku=LIMHXMO100B&tracking=DEPT%5FPRODUCT&,
